Benchmark,Method,Iter,Sec
mp(6),pctwm,11500,-
mp(6),pctwm,3106,432.607153
mp(6),pctwm,12864,-
mp(6),pctwm,12795,-
mp(6),pctwm,12371,-
mp(6),pctwm,12593,-
mp(6),pctwm,12759,-
mp(6),pctwm,13153,-
mp(6),pctwm,956,136.374646
mp(6),pctwm,12536,-
mp(6),pctwm,4571,676.940184
mp(6),pctwm,14361,-
mp(6),pctwm,18122,-
mp(6),pctwm,17894,-
mp(6),pctwm,20045,-
mp(6),pctwm,1988,153.628436
mp(6),pctwm,23058,-
mp(6),pctwm,393,32.281566
mp(6),pctwm,22808,-
mp(6),pctwm,23677,-
mp(6),pctwm,26676,-
mp(6),pctwm,66246,-
mp(6),pctwm,48622,943.360075
mp(6),pctwm,85283,-
mp(6),pctwm,56636,1260.757177
mp(6),pctwm,53834,1235.152481
mp(6),pctwm,35019,804.637636
mp(6),pctwm,20598,487.212292
mp(6),pctwm,75845,-
mp(6),pctwm,76458,-
