Benchmark,Method,Iter,Sec
long-assert(3),pctwm,10909,1800.074912
long-assert(3),pctwm,10962,1800.169051
long-assert(3),pctwm,10915,1800.001850
long-assert(3),pctwm,11012,1800.021054
long-assert(3),pctwm,11533,-
long-assert(3),pctwm,12648,1800.072579
long-assert(3),pctwm,12601,1800.074841
long-assert(3),pctwm,12664,1800.035013
long-assert(3),pctwm,12653,1800.106575
long-assert(3),pctwm,12628,-
long-assert(3),pctwm,12770,1800.109477
long-assert(3),pctwm,12806,1800.071116
long-assert(3),pctwm,12748,1800.079462
long-assert(3),pctwm,12775,1800.082843
long-assert(3),pctwm,12724,-
long-assert(3),pctwm,7475,1086.193672
long-assert(3),pctwm,12339,1800.022845
long-assert(3),pctwm,12374,1800.013686
long-assert(3),pctwm,12332,1800.018973
long-assert(3),pctwm,12323,-
long-assert(3),pctwm,12283,1800.101028
long-assert(3),pctwm,12335,1800.064885
long-assert(3),pctwm,12342,1800.118670
long-assert(3),pctwm,12401,1800.018721
long-assert(3),pctwm,12413,-
long-assert(3),pctwm,12456,1800.025591
long-assert(3),pctwm,12566,1800.081425
long-assert(3),pctwm,12627,1800.067566
long-assert(3),pctwm,12652,1800.125785
long-assert(3),pctwm,12652,-
long-assert(3),pctwm,12588,1800.020828
long-assert(3),pctwm,12747,1800.049348
long-assert(3),pctwm,12715,1800.096180
long-assert(3),pctwm,12726,1800.042200
long-assert(3),pctwm,1141,161.283131
long-assert(3),pctwm,12819,-
long-assert(3),pctwm,12579,1800.013266
long-assert(3),pctwm,12486,1800.018676
long-assert(3),pctwm,12480,-
long-assert(3),pctwm,12277,1800.068268
long-assert(3),pctwm,12247,1800.206865
long-assert(3),pctwm,12142,-
long-assert(3),pctwm,14543,1800.048105
long-assert(3),pctwm,14902,1800.122181
long-assert(3),pctwm,16082,-
long-assert(3),pctwm,17642,1800.095271
long-assert(3),pctwm,17578,1800.067953
long-assert(3),pctwm,17699,-
long-assert(3),pctwm,17438,1800.013953
long-assert(3),pctwm,17564,1800.121686
long-assert(3),pctwm,17589,-
long-assert(3),pctwm,20028,1800.039134
long-assert(3),pctwm,20235,1800.014924
long-assert(3),pctwm,21213,-
long-assert(3),pctwm,22436,1800.028018
long-assert(3),pctwm,530,44.609447
long-assert(3),pctwm,22243,1800.032276
long-assert(3),pctwm,22348,-
long-assert(3),pctwm,22123,1800.081150
long-assert(3),pctwm,22113,1800.089629
long-assert(3),pctwm,22022,-
long-assert(3),pctwm,22913,1800.015456
long-assert(3),pctwm,22993,1800.054349
long-assert(3),pctwm,24012,-
long-assert(3),pctwm,13459,942.290689
long-assert(3),pctwm,9720,693.524486
long-assert(3),pctwm,25698,1800.036823
long-assert(3),pctwm,26329,-
long-assert(3),pctwm,59629,1800.007763
long-assert(3),pctwm,63058,1800.008949
long-assert(3),pctwm,76519,-
long-assert(3),pctwm,82118,1800.009810
long-assert(3),pctwm,81671,1800.011448
long-assert(3),pctwm,78969,-
long-assert(3),pctwm,71519,1800.016170
long-assert(3),pctwm,71714,1800.002402
long-assert(3),pctwm,70842,-
long-assert(3),pctwm,67684,1800.002627
long-assert(3),pctwm,67734,1800.016893
long-assert(3),pctwm,67051,-
long-assert(3),pctwm,63883,1800.013931
long-assert(3),pctwm,64000,1800.028257
long-assert(3),pctwm,63530,-
long-assert(3),pctwm,45521,1359.955343
long-assert(3),pctwm,60816,1800.007778
long-assert(3),pctwm,27696,801.140557
long-assert(3),pctwm,62027,-
long-assert(3),pctwm,61377,1800.013590
long-assert(3),pctwm,60401,1800.000958
long-assert(3),pctwm,60831,-
long-assert(3),pctwm,56284,1800.009252
long-assert(3),pctwm,55880,1800.001552
long-assert(3),pctwm,57311,-
long-assert(3),pctwm,36271,1093.127173
long-assert(3),pctwm,58369,1800.011301
long-assert(3),pctwm,58225,1800.026578
long-assert(3),pctwm,55180,-
long-assert(3),pctwm,53177,1800.004962
long-assert(3),pctwm,51669,1800.024750
long-assert(3),pctwm,52724,-
long-assert(3),pctwm,52263,1800.024014
long-assert(3),pctwm,55035,-
long-assert(3),pctwm,55598,1800.016810
