Benchmark,Method,Iter,Sec
long-assert(5),pctwm,11225,-
long-assert(5),pctwm,11051,-
long-assert(5),pctwm,14511,-
long-assert(5),pctwm,16140,-
long-assert(5),pctwm,16177,-
long-assert(5),pctwm,18638,-
long-assert(5),pctwm,20643,-
long-assert(5),pctwm,20511,-
long-assert(5),pctwm,20455,-
long-assert(5),pctwm,23836,-
long-assert(5),pctwm,45929,-
long-assert(5),pctwm,86475,-
long-assert(5),pctwm,75494,-
long-assert(5),pctwm,70431,-
long-assert(5),pctwm,66684,-
long-assert(5),pctwm,63223,-
long-assert(5),pctwm,62644,-
long-assert(5),pctwm,59951,-
long-assert(5),pctwm,57048,-
long-assert(5),pctwm,57684,-
long-assert(5),pctwm,51729,-
long-assert(5),pctwm,52918,-
long-assert(5),pctwm,57867,-
