Benchmark,Method,Iter,Sec
mp(8),pctwm,10731,-
mp(8),pctwm,11334,-
mp(8),pctwm,11392,-
mp(8),pctwm,11111,-
mp(8),pctwm,11147,-
mp(8),pctwm,11382,-
mp(8),pctwm,11482,-
mp(8),pctwm,11388,-
mp(8),pctwm,11031,-
mp(8),pctwm,13713,-
mp(8),pctwm,16215,-
mp(8),pctwm,16028,-
mp(8),pctwm,18180,-
mp(8),pctwm,20875,-
mp(8),pctwm,20632,-
mp(8),pctwm,20483,-
mp(8),pctwm,23990,-
mp(8),pctwm,44439,-
mp(8),pctwm,83998,-
mp(8),pctwm,72855,-
mp(8),pctwm,68064,-
mp(8),pctwm,64709,-
mp(8),pctwm,61217,-
mp(8),pctwm,61974,-
mp(8),pctwm,57607,-
mp(8),pctwm,57287,-
mp(8),pctwm,56791,-
mp(8),pctwm,52165,-
mp(8),pctwm,53097,-
mp(8),pctwm,60172,-
