Benchmark,Method,Iter,Sec
n1-val(10),pctwm,7,.881664
n1-val(10),pctwm,41,4.062540
n1-val(10),pctwm,6,.640085
n1-val(10),pctwm,10,1.059149
n1-val(10),pctwm,19,1.799066
n1-val(10),pctwm,20,2.000854
n1-val(10),pctwm,6,.554575
n1-val(10),pctwm,29,2.763920
n1-val(10),pctwm,32,2.314665
n1-val(10),pctwm,7,.457978
n1-val(10),pctwm,6,.449858
n1-val(10),pctwm,16,1.154804
n1-val(10),pctwm,22,1.979523
n1-val(10),pctwm,29,2.377300
n1-val(10),pctwm,5,.557965
n1-val(10),pctwm,49,4.097357
n1-val(10),pctwm,18,1.456229
n1-val(10),pctwm,24,2.449881
n1-val(10),pctwm,11,.937553
n1-val(10),pctwm,9,1.074823
n1-val(10),pctwm,16,1.622604
n1-val(10),pctwm,4,.559122
n1-val(10),pctwm,2,.171783
n1-val(10),pctwm,15,.994272
n1-val(10),pctwm,6,.652062
n1-val(10),pctwm,3,.186503
n1-val(10),pctwm,3,.267591
n1-val(10),pctwm,6,.522942
n1-val(10),pctwm,4,.262911
n1-val(10),pctwm,28,2.393614
