Benchmark,Method,Iter,Sec
mp(10),pctwm,9136,-
mp(10),pctwm,10215,-
mp(10),pctwm,10406,-
mp(10),pctwm,10012,-
mp(10),pctwm,10024,-
mp(10),pctwm,10241,-
mp(10),pctwm,10227,-
mp(10),pctwm,10560,-
mp(10),pctwm,10094,-
mp(10),pctwm,9960,-
mp(10),pctwm,14271,-
mp(10),pctwm,14851,-
mp(10),pctwm,14812,-
mp(10),pctwm,17740,-
mp(10),pctwm,18996,-
mp(10),pctwm,18776,-
mp(10),pctwm,19453,-
mp(10),pctwm,21976,-
mp(10),pctwm,49600,-
mp(10),pctwm,80524,-
mp(10),pctwm,69879,-
mp(10),pctwm,66296,-
mp(10),pctwm,63171,-
mp(10),pctwm,59691,-
mp(10),pctwm,60894,-
mp(10),pctwm,56436,-
mp(10),pctwm,55870,-
mp(10),pctwm,55010,-
mp(10),pctwm,50595,-
mp(10),pctwm,51917,-
