Benchmark,Method,Iter,Sec
n1-val(500),pctwm,77,18.412442
n1-val(500),pctwm,366,97.483561
n1-val(500),pctwm,295,80.752134
n1-val(500),pctwm,990,240.479113
n1-val(500),pctwm,629,143.357440
n1-val(500),pctwm,282,64.906650
n1-val(500),pctwm,306,75.221163
n1-val(500),pctwm,113,29.003408
n1-val(500),pctwm,50,12.862748
n1-val(500),pctwm,524,123.180864
n1-val(500),pctwm,170,38.222835
n1-val(500),pctwm,21,5.707320
n1-val(500),pctwm,229,54.941306
n1-val(500),pctwm,932,231.938673
n1-val(500),pctwm,199,49.029355
n1-val(500),pctwm,1153,228.057861
n1-val(500),pctwm,43,7.177587
n1-val(500),pctwm,373,56.828379
n1-val(500),pctwm,474,75.143940
n1-val(500),pctwm,187,24.794085
n1-val(500),pctwm,494,65.097501
n1-val(500),pctwm,403,53.668076
n1-val(500),pctwm,1226,175.406640
n1-val(500),pctwm,141,22.404775
n1-val(500),pctwm,129,19.995537
n1-val(500),pctwm,1789,300.338296
n1-val(500),pctwm,806,137.534390
n1-val(500),pctwm,835,142.650174
n1-val(500),pctwm,461,79.003052
n1-val(500),pctwm,135,23.562114
