Benchmark,Method,Iter,Sec
mp(5),pctwm,5324,872.466725
mp(5),pctwm,5757,762.940886
mp(5),pctwm,3396,451.139912
mp(5),pctwm,13439,-
mp(5),pctwm,4661,611.565096
mp(5),pctwm,2659,351.632202
mp(5),pctwm,4720,618.409139
mp(5),pctwm,1804,244.629788
mp(5),pctwm,972,124.407454
mp(5),pctwm,33,4.172673
mp(5),pctwm,7017,917.155886
mp(5),pctwm,5688,742.033104
mp(5),pctwm,1675,217.662661
mp(5),pctwm,7059,914.160030
mp(5),pctwm,1659,213.817502
mp(5),pctwm,376,48.261858
mp(5),pctwm,5723,772.093182
mp(5),pctwm,315,44.847208
mp(5),pctwm,104,13.171215
mp(5),pctwm,347,45.104764
mp(5),pctwm,9509,1265.179057
mp(5),pctwm,2050,273.481004
mp(5),pctwm,379,50.782222
mp(5),pctwm,3354,456.370685
mp(5),pctwm,969,128.025679
mp(5),pctwm,2231,300.877239
mp(5),pctwm,72,9.109014
mp(5),pctwm,1099,148.979254
mp(5),pctwm,482,64.235130
mp(5),pctwm,2666,356.478700
mp(5),pctwm,12589,1683.321371
mp(5),pctwm,682,93.420889
mp(5),pctwm,2691,354.861091
mp(5),pctwm,3407,458.259261
mp(5),pctwm,1658,223.071530
mp(5),pctwm,10398,1370.874811
mp(5),pctwm,13811,-
