Benchmark,Method,Iter,Sec
n1-val(50),pctwm,56,10.018948
n1-val(50),pctwm,43,8.156644
n1-val(50),pctwm,72,14.641678
n1-val(50),pctwm,64,14.527132
n1-val(50),pctwm,46,11.029988
n1-val(50),pctwm,69,18.094358
n1-val(50),pctwm,132,35.412152
n1-val(50),pctwm,54,14.099489
n1-val(50),pctwm,42,11.322256
n1-val(50),pctwm,22,5.755878
n1-val(50),pctwm,82,21.859714
n1-val(50),pctwm,8,2.222188
n1-val(50),pctwm,60,16.094519
n1-val(50),pctwm,90,23.469747
n1-val(50),pctwm,16,3.787612
n1-val(50),pctwm,7,2.003949
n1-val(50),pctwm,79,20.825684
n1-val(50),pctwm,97,24.031937
n1-val(50),pctwm,7,1.740395
n1-val(50),pctwm,72,18.294961
n1-val(50),pctwm,44,10.649684
n1-val(50),pctwm,187,47.304528
n1-val(50),pctwm,76,15.156952
n1-val(50),pctwm,33,6.464541
n1-val(50),pctwm,55,10.809818
n1-val(50),pctwm,44,8.066620
n1-val(50),pctwm,85,17.705117
n1-val(50),pctwm,17,3.670153
n1-val(50),pctwm,88,18.823637
n1-val(50),pctwm,20,4.960988
