Benchmark,Method,Iter,Sec
long-assert(7),pctwm,10138,-
long-assert(7),pctwm,9929,-
long-assert(7),pctwm,13069,-
long-assert(7),pctwm,14657,-
long-assert(7),pctwm,14607,-
long-assert(7),pctwm,16214,-
long-assert(7),pctwm,18878,-
long-assert(7),pctwm,18721,-
long-assert(7),pctwm,18281,-
long-assert(7),pctwm,21297,-
long-assert(7),pctwm,24934,-
long-assert(7),pctwm,82745,-
long-assert(7),pctwm,76057,-
long-assert(7),pctwm,69625,-
long-assert(7),pctwm,66284,-
long-assert(7),pctwm,62937,-
long-assert(7),pctwm,60636,-
long-assert(7),pctwm,60766,-
long-assert(7),pctwm,56297,-
long-assert(7),pctwm,58080,-
long-assert(7),pctwm,53772,-
long-assert(7),pctwm,51947,-
long-assert(7),pctwm,53853,-
