Benchmark,Method,Iter,Sec
mp(7),pctwm,11325,-
mp(7),pctwm,12031,-
mp(7),pctwm,12002,-
mp(7),pctwm,11728,-
mp(7),pctwm,11794,-
mp(7),pctwm,12003,-
mp(7),pctwm,12178,-
mp(7),pctwm,11898,-
mp(7),pctwm,11617,-
mp(7),pctwm,15490,-
mp(7),pctwm,17039,-
mp(7),pctwm,16912,-
mp(7),pctwm,20310,-
mp(7),pctwm,21693,-
mp(7),pctwm,21480,-
mp(7),pctwm,22756,-
mp(7),pctwm,25079,-
mp(7),pctwm,68436,-
mp(7),pctwm,82025,-
mp(7),pctwm,72880,-
mp(7),pctwm,69155,-
mp(7),pctwm,65741,-
mp(7),pctwm,62877,-
mp(7),pctwm,63670,-
mp(7),pctwm,58562,-
mp(7),pctwm,60940,-
mp(7),pctwm,56059,-
mp(7),pctwm,54901,-
mp(7),pctwm,57942,-
mp(7),pctwm,70971,-
