Benchmark,Method,Iter,Sec
long-assert(6),pctwm,10665,-
long-assert(6),pctwm,10516,-
long-assert(6),pctwm,13834,-
long-assert(6),pctwm,15342,-
long-assert(6),pctwm,15328,-
long-assert(6),pctwm,17493,-
long-assert(6),pctwm,19652,-
long-assert(6),pctwm,19521,-
long-assert(6),pctwm,19161,-
long-assert(6),pctwm,22683,-
long-assert(6),pctwm,34548,-
long-assert(6),pctwm,85490,-
long-assert(6),pctwm,75848,-
long-assert(6),pctwm,69851,-
long-assert(6),pctwm,66341,-
long-assert(6),pctwm,62995,-
long-assert(6),pctwm,61748,-
long-assert(6),pctwm,60207,-
long-assert(6),pctwm,56330,-
long-assert(6),pctwm,58123,-
long-assert(6),pctwm,51936,-
long-assert(6),pctwm,52375,-
long-assert(6),pctwm,55794,-
