Benchmark,Method,Iter,Sec
n1-val(100),pctwm,30,6.132386
n1-val(100),pctwm,16,2.665556
n1-val(100),pctwm,70,15.116371
n1-val(100),pctwm,18,3.623537
n1-val(100),pctwm,37,7.722412
n1-val(100),pctwm,68,15.958865
n1-val(100),pctwm,41,10.499840
n1-val(100),pctwm,59,15.876168
n1-val(100),pctwm,22,5.600310
n1-val(100),pctwm,21,5.560116
n1-val(100),pctwm,60,15.442790
n1-val(100),pctwm,157,41.751779
n1-val(100),pctwm,16,4.081573
n1-val(100),pctwm,14,3.583371
n1-val(100),pctwm,25,6.518818
n1-val(100),pctwm,17,4.324426
n1-val(100),pctwm,204,53.519148
n1-val(100),pctwm,105,26.698287
n1-val(100),pctwm,131,34.174195
n1-val(100),pctwm,27,6.413203
n1-val(100),pctwm,218,51.686010
n1-val(100),pctwm,92,19.230403
n1-val(100),pctwm,137,28.017581
n1-val(100),pctwm,253,58.093472
n1-val(100),pctwm,5,1.269837
n1-val(100),pctwm,46,11.105422
n1-val(100),pctwm,102,24.874244
n1-val(100),pctwm,23,4.953212
n1-val(100),pctwm,131,30.183355
n1-val(100),pctwm,68,14.953396
