Benchmark,Method,Iter,Sec
long-assert(4),pctwm,11979,-
long-assert(4),pctwm,11755,-
long-assert(4),pctwm,15513,-
long-assert(4),pctwm,17122,-
long-assert(4),pctwm,17152,-
long-assert(4),pctwm,20134,-
long-assert(4),pctwm,21825,-
long-assert(4),pctwm,21490,-
long-assert(4),pctwm,22144,-
long-assert(4),pctwm,24888,-
long-assert(4),pctwm,60194,-
long-assert(4),pctwm,86565,-
long-assert(4),pctwm,75306,-
long-assert(4),pctwm,70508,-
long-assert(4),pctwm,67117,-
long-assert(4),pctwm,62895,-
long-assert(4),pctwm,63894,-
long-assert(4),pctwm,58168,-
long-assert(4),pctwm,58546,-
long-assert(4),pctwm,55954,-
long-assert(4),pctwm,52415,-
long-assert(4),pctwm,54035,-
