Benchmark,Method,Iter,Sec
n1-val(1000),pctwm,177,43.915789
n1-val(1000),pctwm,2854,740.836708
n1-val(1000),pctwm,487,118.918321
n1-val(1000),pctwm,982,256.147626
n1-val(1000),pctwm,610,152.906688
n1-val(1000),pctwm,765,159.669831
n1-val(1000),pctwm,431,75.825968
n1-val(1000),pctwm,1443,223.581004
n1-val(1000),pctwm,1073,165.709562
n1-val(1000),pctwm,1256,221.574309
n1-val(1000),pctwm,1521,280.265606
n1-val(1000),pctwm,1589,300.765736
n1-val(1000),pctwm,169,32.360467
n1-val(1000),pctwm,377,72.584090
n1-val(1000),pctwm,77,14.757310
n1-val(1000),pctwm,494,93.474312
n1-val(1000),pctwm,806,154.195794
n1-val(1000),pctwm,8,1.587904
n1-val(1000),pctwm,492,95.436984
n1-val(1000),pctwm,116,22.737261
n1-val(1000),pctwm,662,129.030428
n1-val(1000),pctwm,290,55.359737
n1-val(1000),pctwm,499,82.352768
n1-val(1000),pctwm,33,5.584875
n1-val(1000),pctwm,489,79.509009
n1-val(1000),pctwm,5482,879.313788
n1-val(1000),pctwm,1430,231.477409
n1-val(1000),pctwm,192,31.110910
n1-val(1000),pctwm,1551,252.237283
n1-val(1000),pctwm,176,28.615670
